video_id,in_deg,out_deg
5F5IUqkKHz4,1,1
ibKZq9cB2hU,3,1
n7ovFvA1Wgk,1,2
KYFEoWwDvxY,2,2
nLrUHrpjd2o,1,2
EUHDAfD0Z-Q,2,2
OMwI5unlK9M,2,2
JS8W9HZHDeA,1,1
1tooD0xRg-0,1,1
p4ozAACcc8I,2,2
bMQJPsZsL00,1,2
852pJH-V_m4,1,3
re7ztUy6SVw,1,1
y8bJxGtAQqM,4,1
oSQZ9NiLoxg,2,1
6mI8aH4QLQY,1,1
t6hiV1stRzo,1,1
zmeF2rzsZSU,2,1
hnoMsftQPY8,4,1
JDcro7dPqpA,1,1
OTWkeN2Gyz8,1,1
2ynWiG9-g-o,1,1
RRHYXE5KJRk,1,1
Pu7XBuPgedQ,2,1
-61RG30e_0U,1,1
TkxMm68jwao,3,1
AQsz64OXdpY,1,1
rBP4aEbR2pk,1,1
i0R6TLNRpiY,1,1
LtrwUOAgRtQ,1,1
n6IlaF8J7d0,1,1
Tr-hXgzqRH4,4,1
568JvrfMRLw,1,1
RzOkf-mrDbM,1,1
QO3-AAVTeDA,1,1
pKGzw8GROf0,1,1
p8KuSp9BmXY,1,1
wPPRhMudUHU,1,1
YdiWTYkY1uY,1,1
IZs2i3Bpxx4,1,1
1jDPzW9COsU,2,1
sfq2BYB8K54,1,2
Pc5KfDv94Iw,2,1
x2DMVu6CLZ4,1,2
EOQA80wtI18,1,2
-nDabYlNuSA,4,1
Nqf15ViHSmQ,3,1
IS5mwymTIJU,1,3
XOOe7-3jptw,1,1
y7IqDxGkc0E,1,2
h-fcI7W-ucY,1,1
-qSuZkKDUWY,1,1
bD4-ATkvDXY,1,1
hcSC-HittRM,1,3
epYiIMl4W4U,1,1
YFopblY5rGM,1,1
lHaYsBeB62U,1,1
avh1OLmPODA,1,1
bi2hqL5KkHc,1,1
Ufyov9RO8I0,1,1
8guIl4hUNbs,2,1
YQrMGlIE79M,1,2
7YGITlxfT6s,4,1
BukHlw2oXZQ,1,2
p97xg-keEKg,2,2
0OwJU91cchk,1,1
if_sEUffzjE,4,2
6e0jqaQ2zt4,1,1
vlqu5Lc_2c4,1,1
gJtYRxH5G2k,5,1
0UjpmT5noto,1,1
9N7Hglpze1A,1,1
nMr6sTAduXM,1,1
NbiUSpaqffs,1,1
eEswP_HSFV4,1,1
MzSHkAoemlk,1,1
WUsJcPc8g0A,1,1
QJnfGBP0qRA,6,1
FYe6LV_4nLA,1,2
v-oItsU_l4c,1,1
VIgSgLFwEMs,1,1
rs2RlZQVXBU,10,3
fnTW4Ufosws,1,1
Y3sr0RtIfgI,1,2
37G0D6s0J8s,2,1
9dhHG_Ib5Bc,1,1
_tyszHg96KI,3,2
hUXEmnTOyyE,1,1
z1Ad10VlO5Q,1,1
53GiUoEeIvA,1,1
yq0yV8HKcsg,2,1
fKtntQ1xCDU,1,1
E5UdzP2egIs,1,1
ErRsMTmdQb4,9,1
1siwMVrS0qE,2,1
ZqHPqTDHxJs,3,2
y3jlR6k_wo0,1,1
Stl6OZo7wzg,2,1
PDylgzybWAw,1,1
ySTQk6updjQ,1,1
i7eWudERDgs,3,2
pT6Dqc5OVJU,1,1
3bxcc3SM_KA,5,3
5d3nASKtGas,1,1
FUhQMS00Dyc,15,2
BD5PN8CRCPQ,1,2
6Oo40fOgavc,2,1
0hYPJfrCy6o,1,1
5kCGKMknYjc,1,2
95B30ojbTLw,2,1
