parent_channel,child_channel,out_deg
Abraham Lincoln Presidential Library and Museum,"['Abraham Lincoln Presidential Library and Museum', 'Abraham Lincoln Presidential Library and Museum']",13
Acnologia,"['Compiler Revolt', 'Chris Cuomo & Anderson Copper']",13
Act Now 2017,"['Angela Rye', 'A- Political']",13
Acts17Apologetics,"['Acts17Apologetics', 'Acts17Apologetics', 'Acts17Apologetics', 'Acts17Apologetics', 'Acts17Apologetics', 'Acts17Apologetics', 'Acts17Apologetics', 'Acts17Apologetics', 'Acts17Apologetics', 'Acts17Apologetics', 'CalltoHoliness', 'Acts17Apologetics']",13
Actualized.org,"['The Royal Institution', 'Actualized.org', 'Actualized.org', 'Actualized.org', 'Actualized.org', 'Actualized.org']",13
Adam Johnson,"['gregsmithsr', 'MartSimm']",13
AdamBrownAdventures,"['World 5 List', 'nuggetnoggin']",13
AdamKokesh,"[""Dinesh D'Souza"", 'Vladimir Jaffe']",13
Adnan Hodzic,"['The Royal Institution', 'TED']",13
Adrian Horodecky,"['PSX Gamer Fan Juan', 'Keith']",13
Adventist Channel,"['11:11 Ministries', '11:11 Ministries']",13
Adventist HealthCare,"['The Colorado Trust', 'Danny Shelton']",13
Advoko MAKES,"['Green Mountain Metal Detecting', 'Advoko MAKES', 'The Outsider', 'Colorado Backcountry Adventures']",13
Aegon Targaryen,"['Aegon Targaryen', 'Aegon Targaryen']",13
Aerial View,"['Skavlan', 'True American News']",13
AeroAstroMIT,"['PandoDaily', 'Computer History Museum']",13
Afeem Charas,"['Calvin Donaldson', 'Classic Movies Channel']",13
AfriKan Girl,"['Simple Willderness', 'Sarah Fleischman']",13
African Nollywood Movies Latest Nigerian Movie,"['African Nollywood Movies Latest Nigerian Movie', 'Nollywood5star 2019 African Nigerian Movies', '123 Movies Nigerian Movies African Movies', 'African Nollywood Movies Latest Nigerian Movie', ""JOHNSON'S LATEST MOVIES"", 'Nigerian Movies - 2019 Nigerian Movies Nollywood']",13
Agatan Foundation,"['White Owl', 'silverstream314', 'The Film Archives', 'Atheist favorites', 'Atheist favorites', 'Agatan Foundation', 'Agatan Foundation', 'Agatan Foundation', 'Agatan Foundation', 'Agatan Foundation', 'Answers in Insanity', 'Agatan Foundation', 'Non Believer Archive', 'Melvin Olontha']",13
AgentJayZ,"['Jeff Quitney', 'Imperial College London', 'AgentJayZ', 'AgentJayZ']",13
