parent_channel,child_channel,out_deg
Alfonso Beal,"['Space & The Universe HD', 'Alfonso Beal', 'Here Be Barr', 'conservative man']",13
Alfred Montaner,"['Powerboat Nation', 'ZipZapPower']",13
Alfred Street Baptist Church,"['Alfred Street Baptist Church', 'SlivkiShow']",13
Alicia Keys Chile,"['Eric Shelton', 'mike max']",13
Alison Chang,"['Alison Chang', 'BClub', 'acbillar', 'Alison Chang', 'MrRetruque', 'Snookerholic']",13
All The Fly Kids,"['PBS NewsHour', 'Digital Grass Innovation and Technology']",13
AllYourFavourite,"['Marc Swayne', 'sitcom world']",13
Allec Joshua Ibay,"['World Top ONE', ""O'Hare Aviation - Jay's HD Plane Spotting"", 'Allec Joshua Ibay', 'stefan']",13
Allison Fisher,"['Alison Chang', 'InsidePOOLmag']",13
Allure,"['Olympic', 'REACT']",13
Altair4 Multimedia Archeo3D Production,"['DTTV Studios', 'Altair4 Multimedia Archeo3D Production']",13
Alux.com,"['Alux.com', 'Entrepreneur Advice', 'CNBC International', 'Alux.com', 'The Duomo Initiative - Financial Education', 'Alux.com']",13
Amanda Trujillo,"['rcageman', 'Moartn']",13
Amanda's Designs,"['5-Minute Crafts MEN', 'Courtney Hoelscher']",13
Amazing Facts,"['Nick Johnson', 'Nick Johnson']",13
Amazing Stock,"['The BIGGEST', 'Amazing Stock', 'Amazing Stock', 'Amazing Stock', 'Baldomir78', 'DTTV Studios', 'DTTV Studios', 'DTTV Studios', 'Top10 Files', 'World Unearthed', 'Amazing Stock', 'Amazing Stock', 'Amazing Stock', 'Storage Auction Pirate', 'Did You Know ?', 'Timeline - World History Documentaries', 'CAPTAIN BLACK', 'InnerAction Media']",13
Amazing Video's,"['Free Documentary', 'Willow Wind']",13
AmazingFacts,"['GMA Public Affairs', 'AmazingFacts']",13
Amazon Books,"['92Y Plus', 'AdmiralKird']",13
America Can We Talk?,"['Fox News', 'Jimmy Kimmel Live', 'Chelsea', 'Randi Rhodes Show']",13
America First,"['Chelsea', 'jaime andrade']",13
America First with Nicholas J Fuentes,"['Fox Business', 'Business Insider', 'Maybach Exelero', 'Great Museums']",13
America's Got Talent,"['Got Talent Global', 'Raptor', ""Magician's Got Talent"", 'Jonathan Burns', 'Got Talent Global', ""America's Got Talent"", ""America's Got Talent"", 'LetsTalkSense1']",13
American Academy of Achievement,"['عصابة بدر Badr_Family', 'BasicEconomics']",13
American Academy of Arts & Sciences,"['Duke University - The Fuqua School of Business', 'American Constitution Society']",13
American Constitution Society,"['Brown University', 'TED']",13
American Enterprise Institute,"['Primitive Technology', 'Los Angeles Times']",13
American Eye,"['Amazing Stock', 'World List']",13
American Film Institute,"['CNN', 'John W Hardin', 'nickykm', 'American Film Institute', 'American Film Institute', 'reggieoneill', 'Oscars', 'ToonORama', 'American Film Institute', 'davytriumph', 'FilMagicians', 'fogerty tom', 'Alchay Archy', 'American Film Institute', 'Andrew Lynch', 'minorprobpark', 'American Film Institute', 'Golden Globes', 'American Film Institute', 'TheEllenShow']",13
American Heroes Channel,"['القناة الرديفة للجبهة الوطنية للتحرير', 'Bản Tin Biển Đông', 'BlueGum', 'DOCUMENTARY TUBE']",13
American Rail Club,"['Albertblo', 'atomiswave1971']",13
American Thought Leaders - The Epoch Times,"['Fox Business', 'topflyman']",13
AmericanRhetoric.com,"['Valuetainment', 'FRANCE 24 English']",13
AmericanShows,"['Saturday Night Live', 'CBS News']",13
Americans Channel,"['Training Berries', 'Andrew Caleb', 'What The Hales', 'Awesome!']",13
Amit Agarwal,"['National Geographic', 'CNN']",13
Amitabha05,"['Diego Shares', 'Johnny Adeson Cuevas Vicioso']",13
Amixem,"['Nico Rosberg', 'JOYCA', 'Monsieur le Chirurgien', 'Ares Abyss']",13
Amy Araya Namiko,"['Nok Freeway', 'Rick Jones Anderson - Exótica Vídeos']",13
Ana-Maria Frintu,"['wheatoncollege', 'Gracepoint Church']",13
Analog Indulgence,"['Sports Illustrated', 'JakeyG51']",13
Analog Insights,"['WIRED', 'Dale Philip']",13
Analog Notations,"['sharpwg', 'Anarcho Inside']",13
Anand Giridharadas,"['scallly', 'World Affairs']",13
Anarşist Mizah,"['giancarlo4254', 'TheEllenShow']",13
Ancestry,"['SideNote', 'Matter of Fact']",13
