name,leaning,url
discover-the-networks,R,http://www.discoverthenetworks.org/
discoverytheword-com,R,http://discoverytheword.com
dissent-magazine,L,https://www.dissentmagazine.org/
diversityinc,L,http://www.diversityinc.com
doctors-without-borders,C,http://www.doctorswithoutborders.org
donald-trump-news,R,http://donaldtrumpnews.co/
donald-trump-potus-45,R,http://donaldtrumppotus45.com/
downsizing-the-federal-government,R,https://www.downsizinggovernment.org
downtrend,R,http://downtrend.com/
dpa-german-press-agency,C,http://www.dpa-international.com/
draining-the-swamp,R,http://www.drainingtheswamp.info/
drudge-report,R,http://www.drudgereport.com/
drudge-retort,L,http://www.drudge.com/
duke-chronicle,C,NA
duluth-news-tribune,R,https://www.duluthnewstribune.com
dutch-daily-news,L,http://www.dutchdailynews.com/
dutch-review,L,https://dutchreview.com/
dw-news,L,http://www.dw.com/en/top-stories/s-9097
eagle-pac,R,http://eagleactionreport.com
eagle-pass-news-leader,R,NA
eagle-rising,R,http://eaglerising.com/
eagle-tribune,C,http://www.eagletribune.com/
earth-first-journal,L,http://earthfirstjournal.org/
earth-institute,C,http://earth.columbia.edu/sections/view/9
earthjustice,L,https://earthjustice.org
earthnews-conservative-news,L,http://earthnews2016.com/
east-bay-times,L,http://www.eastbaytimes.com/
econofact,L,https://econofact.org/
economic-policy-institute,L,http://www.epi.org/
economicpolicyjournal-com,R,http://www.economicpolicyjournal.com
economics-help,L,https://www.economicshelp.org
economist,L,NA
economy-in-crisis,L,http://economyincrisis.org/
edmonton-journal,L,http://edmontonjournal.com/
edmonton-sun,R,http://www.edmontonsun.com/
egbertowillies,L,https://egbertowillies.com/
egyptian-streets,L,https://egyptianstreets.com/
ej-insight-eji,C,http://www.ejinsight.com/
el-pais,L,http://elpais.com/elpais/inenglish.html
el-paso-times,L,http://www.elpasotimes.com/
electoral-vote-com,L,https://www.electoral-vote.com
electronic-frontier-foundation,L,https://www.eff.org/
electronic-intifada,L,https://electronicintifada.net/
elisabeth-parker,L,http://elisabethparker.com/
elite-daily,L,http://elitedaily.com/
elko-daily-free-press,C,NA
embols,L,http://embols.com/
emirates-247,L,http://www.emirates247.com/
empire-herald,L,https://empireherald.com/
empty-wheel,L,https://www.emptywheel.net/
en-volve,R,http://en-volve.com/
ending-the-fed-news,R,http://endingthefed.com/
energy-citizens,R,https://energycitizens.org/
engadget,L,https://www.engadget.com/
enh-live,R,http://www.enhlive.com/
epoch-times,R,NA
erie-times-news,C,http://www.goerie.com
